player,salary,team,position,fpts
A.J. Pierzynski,2500,ATL,C,4.91
Aaron Hill,2500,MIL,2B/3B,4.82
Aaron Nola,9600,PHI,SP,19.02
Adam Duvall,5000,CIN,OF,8.17
Adam Jones,4300,BAL,OF,9.13
Adonis Garcia,3000,ATL,3B,6.04
Adrian Beltre,3400,TEX,3B,8.04
Adrian Gonzalez,3300,LAD,1B,7.35
Alcides Escobar,2100,KCR,SS,5.03
Alejandro De Aza,3500,NYM,OF,5.63
Alex Rodriguez,3900,NYY,1B/3B,7.44
Alexei Ramirez,2500,SDP,SS,4.97
Alexi Amarista,2200,SDP,2B/3B,4.07
Andres Blanco,3600,PHI,2B/3B,5.83
Andrew McCutchen,3300,PIT,OF,8.02
Anthony Rendon,4100,WAS,3B,6.31
Asdrubal Cabrera,3400,NYM,SS,6.46
Bartolo Colon,6700,NYM,SP,13.43
Ben Revere,3800,WAS,OF,6.24
Billy Burns,3000,OAK,OF,6.09
Billy Butler,2800,OAK,1B,5.63
Blake Snell,8700,TBR,SP,13.84
Bobby Wilson,2000,TEX,C,4.63
Brandon Phillips,3500,CIN,2B,6.81
Brett Gardner,4600,NYY,OF,8.01
Brian Dozier,3800,MIN,2B,7.53
Brian McCann,3800,NYY,C,7.32
Bryce Harper,5100,WAS,OF,10.06
Byron Buxton,2400,MIN,OF,5.15
Byung-ho Park,3300,MIN,1B,7.02
Cameron Maybin,4400,DET,OF,6.33
Cameron Rupp,3600,PHI,C,5.07
Carlos Beltran,5100,NYY,OF,7.95
Carlos Ruiz,3700,PHI,C,5.04
CC Sabathia,9800,NYY,SP,19.55
Cesar Hernandez,3200,PHI,2B,5.57
Chase Headley,3000,NYY,3B,5.12
Chase Utley,4000,LAD,2B,7.28
Cheslor Cuthbert,2500,KCR,3B,4.1
Chris Carter,3700,MIL,1B,6.08
Chris Davis,4500,BAL,1B,6.91
Chris Iannetta,3600,SEA,C,4.94
Chris Stewart,2400,PIT,C,4.45
Chris Young,4700,BOS,OF,5.64
Christian Vazquez,2900,BOS,C,4.9
Coco Crisp,3100,OAK,OF,6.9
Colby Lewis,8100,TEX,SP,15.52
Corey Seager,5200,LAD,SS,9.53
Curt Casali,2600,TBR,C,4.97
Curtis Granderson,4500,NYM,OF,8.36
Dae-Ho Lee,3400,SEA,1B,7.15
Dan Straily,9200,CIN,SP,18.11
Daniel Mengden,6700,OAK,SP,12.09
Daniel Murphy,5000,WAS,2B,8.87
Danny Duffy,7000,KCR,SP,18.47
Danny Espinosa,3700,WAS,SS,4.65
Danny Valencia,4200,OAK,3B,7.49
David Freese,4000,PIT,1B/3B,5.33
David Ortiz,5600,BOS,1B,11.83
Derek Norris,3000,SDP,C,5.17
Desmond Jennings,3100,TBR,OF,5.58
Devon Travis,3500,TOR,2B,4.9
